,x,y,z,Name
360,-23.494951,-28.288244,51.481415,Kingsman: The Secret Service
361,27.471556,-23.22662,39.407757,Us
362,23.027102,-29.895443,-29.93709,The Expendables 3
363,7.270946,38.304924,38.068726,Jaws
364,-14.47359,-4.3098774,19.785952,Scent of a Woman
365,4.8586764,-66.11534,6.346252,Split
366,-0.46078014,-18.675367,59.05783,Pitch Perfect
367,28.813513,-52.112343,-7.0685244,Romeo + Juliet
368,5.3020406,-61.824593,5.175393,The VVitch: A New-England Folktale
369,7.3765078,28.428898,21.634212,Mother!
370,40.064682,3.6612608,-4.7686887,Zodiac
371,-17.821613,6.2650747,45.743935,Prometheus
372,15.060955,-22.865732,5.752825,The Godfather Part III
373,12.420634,-5.362821,43.433155,Margin Call
374,17.67935,-29.493773,6.5957546,A Bronx Tale
375,19.172575,-47.35946,-18.839722,Watchmen
376,-0.3395612,15.757092,-46.27775,Ah-ga-ssi
377,33.152805,17.965923,5.1543965,Into the Wild
378,37.591587,-35.65843,-4.5132766,Annihilation
379,31.573433,4.71309,-14.639146,Labyrinth
380,16.714754,-40.547665,-2.6840658,Magnolia
381,-21.462004,-7.8124714,28.22617,Apocalypto
382,31.192245,17.929728,22.871258,Fury
383,32.9259,-54.45546,2.3178787,Ex Machina
384,-15.899487,20.472347,7.088131,En man som heter Ove
385,-6.650442,-57.46838,29.338184,The Social Network
386,40.949722,-40.005604,10.574073,Dark City
387,5.5782447,-50.79283,24.799164,Airplane!
388,-31.75758,-27.421669,-43.064,Mission: Impossible
389,0.03525585,-71.19004,-6.371871,There's Something About Mary
390,22.467667,-30.582901,-29.042763,The Expendables
391,-15.545786,37.190266,-33.20167,Kimi no na wa.
392,52.11626,-34.63259,19.544641,Idiocracy
393,33.783504,-22.132448,47.823673,Argo
394,-9.966733,7.9867654,-18.830732,The Hunt
395,-41.505165,-39.670624,-20.4062,The Last of the Mohicans
396,28.979929,-38.57824,-17.19796,Logan
397,56.096,-28.477436,12.151465,Transformers
398,-10.895198,-10.806568,17.21457,Mulholland Dr.
399,15.397444,-41.18664,-10.508958,Crash
400,-31.666092,24.149057,21.808716,The Intouchables
401,20.015905,-0.48533365,11.354292,George of the Jungle
402,24.654564,-16.312487,-23.916845,Die Hard
403,44.150547,10.149667,-15.226256,Bohemian Rhapsody
404,1.5233318,-35.010567,53.52545,White Chicks
405,-4.7621355,-45.682945,9.159817,Ocean's Eleven
406,59.240757,-7.083135,-23.68628,The Conjuring
407,9.454772,2.20735,56.927784,Birdman or (The Unexpected Virtue of Ignorance)
408,22.542374,-6.2065096,32.331284,Primal Fear
409,20.794195,-24.52862,33.247272,Pirates of the Caribbean: On Stranger Tides
410,22.796034,-52.422115,-29.859526,Star Wars: Episode VII - The Force Awakens
411,-14.653113,-28.84394,56.051895,WarGames
412,25.835918,-13.797728,49.853493,Dracula
413,32.88925,-35.176167,-7.8513618,Black Widow
414,31.302841,-56.273476,-1.7409674,The Revenant
415,50.256817,-8.597809,-12.580147,Willow
416,6.338303,-18.928099,27.259352,Wedding Crashers
417,27.692554,-35.009228,-5.9321985,Black Hawk Down
418,9.627943,-61.40568,-19.207142,Tangled
419,-25.42217,-37.265495,29.181261,Ready Player One
420,-11.739549,21.046207,46.87052,The Age of Adaline
